Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
METROPOLITANA DE SANTIAGO,HUECHURABA,223,74581,40249,53.97
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,246,82526,33888,41.06
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,83,28606,13903,48.6
METROPOLITANA DE SANTIAGO,LA CISTERNA,259,81931,39646,48.39
METROPOLITANA DE SANTIAGO,LA FLORIDA,918,308805,161514,52.3
METROPOLITANA DE SANTIAGO,LA GRANJA,318,102187,45353,44.38
METROPOLITANA DE SANTIAGO,LA PINTANA,508,137994,55704,40.37
METROPOLITANA DE SANTIAGO,LA REINA,283,90939,56792,62.45
METROPOLITANA DE SANTIAGO,LAMPA,187,62829,29141,46.38
METROPOLITANA DE SANTIAGO,LAS CONDES,803,271386,171661,63.25
METROPOLITANA DE SANTIAGO,LO BARNECHEA,248,84259,55044,65.33
METROPOLITANA DE SANTIAGO,LO ESPEJO,305,88815,38117,42.92
METROPOLITANA DE SANTIAGO,LO PRADO,272,86901,40326,46.4
METROPOLITANA DE SANTIAGO,MACUL,370,100045,54574,54.55
METROPOLITANA DE SANTIAGO,MAIPU,1186,392526,208431,53.1
METROPOLITANA DE SANTIAGO,MARIA PINTO,35,11862,5571,46.97
METROPOLITANA DE SANTIAGO,MELIPILLA,286,98064,41466,42.28
METROPOLITANA DE SANTIAGO,ÑUÑOA,616,198985,123023,61.83
METROPOLITANA DE SANTIAGO,PADRE HURTADO,136,46684,25049,53.66
METROPOLITANA DE SANTIAGO,PAINE,166,55091,26801,48.65
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,337,91490,45433,49.66
METROPOLITANA DE SANTIAGO,PEÑAFLOR,215,73422,37435,50.99
METROPOLITANA DE SANTIAGO,PEÑALOLEN,582,190640,95958,50.33
METROPOLITANA DE SANTIAGO,PIRQUE,80,23505,12851,54.67
METROPOLITANA DE SANTIAGO,PROVIDENCIA,508,170892,96544,56.49
METROPOLITANA DE SANTIAGO,PUDAHUEL,510,169810,81206,47.82
METROPOLITANA DE SANTIAGO,PUENTE ALTO,1276,403129,192438,47.74
METROPOLITANA DE SANTIAGO,QUILICURA,418,141793,69746,49.19
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,304,101182,46090,45.55
METROPOLITANA DE SANTIAGO,RECOLETA,466,140460,62058,44.18
METROPOLITANA DE SANTIAGO,RENCA,346,115788,51402,44.39
METROPOLITANA DE SANTIAGO,SAN BERNARDO,679,228550,98730,43.2
