Region,City,Boric,Kast,Provoste,Sichel,Artes,Enriquez,Parisi,Votos_Emitidos,Votos_Nulos,Votos_Blancos,Votos_Total,Boric_per,Kast_per,Provoste_per,Sichel_per,Artes_per,Enriquez_per,Parisi_per,Votos_Emitidos_per,Votos_Nulos_per,Votos_Blancos_per,Votos_Total_per
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA,4,34,1,2,0,2,4,47,0,0,47,8.51,72.34,2.13,4.26,0.0,4.26,8.51,100.0,0.0,0.0,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS(EX-NAVARINO),189,421,74,63,10,28,82,867,6,5,878,21.8,48.56,8.54,7.27,1.15,3.23,9.46,98.75,0.68,0.57,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,57,134,33,24,3,26,25,302,2,2,306,18.87,44.37,10.93,7.95,0.99,8.61,8.28,98.69,0.65,0.65,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,2437,2039,1253,573,91,722,980,8095,105,72,8272,30.11,25.19,15.48,7.08,1.12,8.92,12.11,97.86,1.27,0.87,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,761,581,304,166,18,193,245,2268,39,19,2326,33.55,25.62,13.4,7.32,0.79,8.51,10.8,97.51,1.68,0.82,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PRIMAVERA,63,66,43,31,4,46,51,304,7,2,313,20.72,21.71,14.14,10.2,1.32,15.13,16.78,97.12,2.24,0.64,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,17375,15589,4993,4782,537,5482,7174,55932,475,192,56599,31.06,27.87,8.93,8.55,0.96,9.8,12.83,98.82,0.84,0.34,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,RIO VERDE,52,101,17,26,0,29,31,256,2,0,258,20.31,39.45,6.64,10.16,0.0,11.33,12.11,99.22,0.78,0.0,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,SAN GREGORIO,52,95,5,32,0,27,33,244,2,3,249,21.31,38.93,2.05,13.11,0.0,11.07,13.52,97.99,0.8,1.2,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TIMAUKEL,24,71,8,19,1,23,22,168,2,1,171,14.29,42.26,4.76,11.31,0.6,13.69,13.1,98.25,1.17,0.58,100.0
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TORRES DEL PAINE,123,161,123,42,4,67,74,594,8,8,610,20.71,27.1,20.71,7.07,0.67,11.28,12.46,97.38,1.31,1.31,100.0
