Region,City,Boric,Kast,Provoste,Sichel,Artes,Enriquez,Parisi,Votos_Emitidos,Votos_Nulos,Votos_Blancos,Votos_Total,Boric_per,Kast_per,Provoste_per,Sichel_per,Artes_per,Enriquez_per,Parisi_per,Votos_Emitidos_per,Votos_Nulos_per,Votos_Blancos_per,Votos_Total_per
DE LOS LAGOS,PALENA,160,307,157,81,7,20,57,789,8,14,811,20.28,38.91,19.9,10.27,0.89,2.53,7.22,97.29,0.99,1.73,100.0
DE LOS LAGOS,PUERTO MONTT,18860,28790,9339,9453,1209,5555,14459,87665,644,498,88807,21.51,32.84,10.65,10.78,1.38,6.34,16.49,98.71,0.73,0.56,100.0
DE LOS LAGOS,PUERTO OCTAY,651,1245,956,318,42,201,645,4058,29,27,4114,16.04,30.68,23.56,7.84,1.03,4.95,15.89,98.64,0.7,0.66,100.0
DE LOS LAGOS,PUERTO VARAS,4459,9205,2276,3841,191,897,2150,23019,132,122,23273,19.37,39.99,9.89,16.69,0.83,3.9,9.34,98.91,0.57,0.52,100.0
DE LOS LAGOS,PUQUELDON,299,287,217,102,14,83,293,1295,23,12,1330,23.09,22.16,16.76,7.88,1.08,6.41,22.63,97.37,1.73,0.9,100.0
DE LOS LAGOS,PURRANQUE,1317,3456,1691,882,79,426,1082,8933,104,89,9126,14.74,38.69,18.93,9.87,0.88,4.77,12.11,97.89,1.14,0.98,100.0
DE LOS LAGOS,PUYEHUE,753,1790,1151,413,42,267,598,5014,46,38,5098,15.02,35.7,22.96,8.24,0.84,5.33,11.93,98.35,0.9,0.75,100.0
DE LOS LAGOS,QUEILEN,493,520,663,212,29,117,315,2349,20,34,2403,20.99,22.14,28.22,9.03,1.23,4.98,13.41,97.75,0.83,1.41,100.0
DE LOS LAGOS,QUELLON,1748,2123,1660,694,111,441,1747,8524,112,146,8782,20.51,24.91,19.47,8.14,1.3,5.17,20.5,97.06,1.28,1.66,100.0
DE LOS LAGOS,QUEMCHI,587,789,596,291,30,145,345,2783,27,55,2865,21.09,28.35,21.42,10.46,1.08,5.21,12.4,97.14,0.94,1.92,100.0
