Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_with_id,City_id
DE LOS RIOS,LANCO,50,16367,6782,41.44,142-LANCO,142
DE LOS RIOS,LOS LAGOS,62,19109,7759,40.6,143-LOS LAGOS,143
DE LOS RIOS,MAFIL,24,7191,3417,47.52,144-MAFIL,144
DE LOS RIOS,MARIQUINA,64,19123,7897,41.3,145-MARIQUINA,145
DE LOS RIOS,PAILLACO,66,19298,8541,44.26,146-PAILLACO,146
DE LOS RIOS,PANGUIPULLI,108,35619,13818,38.79,147-PANGUIPULLI,147
DE LOS RIOS,RIO BUENO,103,30798,13597,44.15,148-RIO BUENO,148
DE LOS RIOS,VALDIVIA,412,139836,70848,50.67,149-VALDIVIA,149
DE LOS LAGOS,TOTAL,2345,746353,330898,44.34,total,-99
DE LOS LAGOS,ANCUD,120,38912,15884,40.82,342-ANCUD,342
DE LOS LAGOS,CALBUCO,97,32505,11459,35.25,118-CALBUCO,118
DE LOS LAGOS,CASTRO,135,41866,17877,42.7,109-CASTRO,109
DE LOS LAGOS,CHAITEN,17,5094,1550,30.43,134-CHAITEN,134
DE LOS LAGOS,CHONCHI,40,13357,5346,40.02,110-CHONCHI,110
DE LOS LAGOS,COCHAMO,16,4636,1589,34.28,119-COCHAMO,119
DE LOS LAGOS,CURACO DE VELEZ,12,3770,1261,33.45,111-CURACO DE VELEZ,111
DE LOS LAGOS,DALCAHUE,38,12772,4407,34.51,112-DALCAHUE,112
DE LOS LAGOS,FRESIA,42,12172,5405,44.41,120-FRESIA,120
DE LOS LAGOS,FRUTILLAR,51,17227,8486,49.26,121-FRUTILLAR,121
DE LOS LAGOS,FUTALEUFU,12,3885,1079,27.77,135-FUTALEUFU,135
DE LOS LAGOS,HUALAIHUE,29,8774,3728,42.49,136-HUALAIHUE,136
DE LOS LAGOS,LLANQUIHUE,48,16207,7967,49.16,122-LLANQUIHUE,122
DE LOS LAGOS,LOS MUERMOS,49,16423,6817,41.51,123-LOS MUERMOS,123
DE LOS LAGOS,MAULLIN,58,15329,5594,36.49,124-MAULLIN,124
DE LOS LAGOS,OSORNO,459,143216,68095,47.55,127-OSORNO,127
DE LOS LAGOS,PALENA,7,2322,811,34.93,137-PALENA,137
DE LOS LAGOS,PUERTO MONTT,573,189727,88771,46.79,125-PUERTO MONTT,125
DE LOS LAGOS,PUERTO OCTAY,30,9074,4117,45.37,128-PUERTO OCTAY,128
DE LOS LAGOS,PUERTO VARAS,128,43875,23268,53.03,126-PUERTO VARAS,126
DE LOS LAGOS,PUQUELDON,14,4406,1330,30.19,113-PUQUELDON,113
DE LOS LAGOS,PURRANQUE,71,19788,9123,46.1,129-PURRANQUE,129
DE LOS LAGOS,PUYEHUE,35,11691,5097,43.6,130-PUYEHUE,130
DE LOS LAGOS,QUEILEN,19,6234,2403,38.55,114-QUEILEN,114
DE LOS LAGOS,QUELLON,70,23017,8782,38.15,115-QUELLON,115
DE LOS LAGOS,QUEMCHI,34,8963,2865,31.96,116-QUEMCHI,116
DE LOS LAGOS,QUINCHAO,32,9251,2534,27.39,117-QUINCHAO,117
DE LOS LAGOS,RIO NEGRO,46,13459,6343,47.13,131-RIO NEGRO,131
DE LOS LAGOS,SAN JUAN DE LA COSTA,32,8249,4037,48.94,132-SAN JUAN DE LA COSTA,132
DE LOS LAGOS,SAN PABLO,31,10152,4873,48.0,133-SAN PABLO,133
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TOTAL,316,98558,40697,41.29,total,-99
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,70,22646,9163,40.46,11007-AYSEN,11007
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CHILE CHICO,20,6423,1941,30.22,393-CHILE CHICO,393
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CISNES,18,4642,2115,45.56,12157-CISNES,12157
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COCHRANE,13,3384,1440,42.55,3515-COCHRANE,3515
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,167,54221,23138,42.67,10993-COYHAIQUE,10993
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GUAITECAS,6,1696,499,29.42,6751-GUAITECAS,6751
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,LAGO VERDE,5,1247,476,38.17,457-LAGO VERDE,457
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,O'HIGGINS,3,758,325,42.88,5-O'HIGGINS,5
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,RIO IBAÑEZ,12,2971,1385,46.62,10-RIO IBAÑEZ,10
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TORTEL,2,570,215,37.72,2047-TORTEL,2047
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TOTAL,517,158483,70036,44.19,total,-99
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA,1,233,47,20.17,ANTARTICA,-99
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS(EX-NAVARINO),6,1862,878,47.15,CABO DE HORNOS(EX-NAVARINO),-99
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,3,822,306,37.23,150-LAGUNA BLANCA,150
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,69,22672,8281,36.53,22513-NATALES,22513
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,20,6108,2326,38.08,345-PORVENIR,345
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PRIMAVERA,4,1229,313,25.47,4572-PRIMAVERA,4572
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,400,121724,56597,46.5,17170-PUNTA ARENAS,17170
DE MAGALLANES Y DE LA ANTARTICA CHILENA,RIO VERDE,3,750,258,34.4,10800-RIO VERDE,10800
DE MAGALLANES Y DE LA ANTARTICA CHILENA,SAN GREGORIO,2,715,249,34.83,153-SAN GREGORIO,153
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TIMAUKEL,3,734,171,23.3,343-TIMAUKEL,343
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TORRES DEL PAINE,6,1634,610,37.33,10982-TORRES DEL PAINE,10982
