Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_with_id,City_id
DE VALPARAISO,LA LIGUA,92,30495,14674,48.12,172-LA LIGUA,172
DE VALPARAISO,LIMACHE,117,40056,19566,48.85,179-LIMACHE,179
DE VALPARAISO,LLAILLAY,62,21043,10412,49.48,190-LLAILLAY,190
DE VALPARAISO,LOS ANDES,166,55912,29519,52.8,168-LOS ANDES,168
DE VALPARAISO,NOGALES,66,19714,9377,47.57,180-NOGALES,180
DE VALPARAISO,OLMUE,49,16687,7977,47.8,181-OLMUE,181
DE VALPARAISO,PANQUEHUE,20,6644,3330,50.12,191-PANQUEHUE,191
DE VALPARAISO,PAPUDO,22,6309,3639,57.68,173-PAPUDO,173
DE VALPARAISO,PETORCA,30,9415,4167,44.26,174-PETORCA,174
DE VALPARAISO,PUCHUNCAVI,65,16733,8870,53.01,23471-PUCHUNCAVI,23471
DE VALPARAISO,PUTAENDO,42,14163,6547,46.23,192-PUTAENDO,192
DE VALPARAISO,QUILLOTA,223,75874,36879,48.61,182-QUILLOTA,182
DE VALPARAISO,QUILPUE,398,135645,70909,52.28,199-QUILPUE,199
DE VALPARAISO,QUINTERO,74,25195,12385,49.16,200-QUINTERO,200
DE VALPARAISO,RINCONADA,28,9605,5218,54.33,169-RINCONADA,169
DE VALPARAISO,SAN ANTONIO,232,78647,39157,49.79,187-SAN ANTONIO,187
DE VALPARAISO,SAN ESTEBAN,45,15496,8401,54.21,170-SAN ESTEBAN,170
DE VALPARAISO,SAN FELIPE,178,60113,29875,49.7,193-SAN FELIPE,193
DE VALPARAISO,SANTA MARIA,36,12169,6055,49.76,194-SANTA MARIA,194
DE VALPARAISO,SANTO DOMINGO,35,11869,7466,62.9,188-SANTO DOMINGO,188
DE VALPARAISO,VALPARAISO,940,287931,131169,45.56,201-VALPARAISO,201
DE VALPARAISO,VILLA ALEMANA,293,100481,51651,51.4,202-VILLA ALEMANA,202
DE VALPARAISO,VIÑA DEL MAR,947,302008,151031,50.01,203-VIÑA DEL MAR,203
DE VALPARAISO,ZAPALLAR,28,9155,5461,59.65,175-ZAPALLAR,175
METROPOLITANA DE SANTIAGO,TOTAL,18166,5862179,2907274,49.59,total,-99
METROPOLITANA DE SANTIAGO,ALHUE,21,6118,2519,41.17,298-ALHUE,298
METROPOLITANA DE SANTIAGO,BUIN,253,78010,40106,51.41,294-BUIN,294
METROPOLITANA DE SANTIAGO,CALERA DE TANGO,67,22524,10603,47.07,295-CALERA DE TANGO,295
METROPOLITANA DE SANTIAGO,CERRILLOS,205,66557,31042,46.64,303-CERRILLOS,303
METROPOLITANA DE SANTIAGO,CERRO NAVIA,350,113693,49011,43.11,304-CERRO NAVIA,304
METROPOLITANA DE SANTIAGO,COLINA,278,94052,47051,50.03,288-COLINA,288
METROPOLITANA DE SANTIAGO,CONCHALI,387,116290,53670,46.15,305-CONCHALI,305
METROPOLITANA DE SANTIAGO,CURACAVI,79,27147,13610,50.13,299-CURACAVI,299
METROPOLITANA DE SANTIAGO,EL BOSQUE,434,135969,61719,45.39,306-EL BOSQUE,306
METROPOLITANA DE SANTIAGO,EL MONTE,83,28129,13563,48.22,335-EL MONTE,335
METROPOLITANA DE SANTIAGO,ESTACION CENTRAL,399,125639,53431,42.53,18258-ESTACION CENTRAL,18258
METROPOLITANA DE SANTIAGO,HUECHURABA,223,74581,40249,53.97,308-HUECHURABA,308
METROPOLITANA DE SANTIAGO,INDEPENDENCIA,246,82526,33888,41.06,309-INDEPENDENCIA,309
METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,83,28606,13903,48.6,336-ISLA DE MAIPO,336
METROPOLITANA DE SANTIAGO,LA CISTERNA,259,81931,39646,48.39,310-LA CISTERNA,310
METROPOLITANA DE SANTIAGO,LA FLORIDA,918,308805,161514,52.3,311-LA FLORIDA,311
METROPOLITANA DE SANTIAGO,LA GRANJA,318,102187,45353,44.38,312-LA GRANJA,312
METROPOLITANA DE SANTIAGO,LA PINTANA,508,137994,55704,40.37,313-LA PINTANA,313
METROPOLITANA DE SANTIAGO,LA REINA,283,90939,56792,62.45,314-LA REINA,314
METROPOLITANA DE SANTIAGO,LAMPA,187,62829,29141,46.38,289-LAMPA,289
METROPOLITANA DE SANTIAGO,LAS CONDES,803,271386,171661,63.25,315-LAS CONDES,315
METROPOLITANA DE SANTIAGO,LO BARNECHEA,248,84259,55044,65.33,316-LO BARNECHEA,316
METROPOLITANA DE SANTIAGO,LO ESPEJO,305,88815,38117,42.92,317-LO ESPEJO,317
METROPOLITANA DE SANTIAGO,LO PRADO,272,86901,40326,46.4,318-LO PRADO,318
METROPOLITANA DE SANTIAGO,MACUL,370,100045,54574,54.55,319-MACUL,319
METROPOLITANA DE SANTIAGO,MAIPU,1186,392526,208431,53.1,320-MAIPU,320
METROPOLITANA DE SANTIAGO,MARIA PINTO,35,11862,5571,46.97,300-MARIA PINTO,300
METROPOLITANA DE SANTIAGO,MELIPILLA,286,98064,41466,42.28,301-MELIPILLA,301
METROPOLITANA DE SANTIAGO,ÑUÑOA,616,198985,123023,61.83,321-ÑUÑOA,321
METROPOLITANA DE SANTIAGO,PADRE HURTADO,136,46684,25049,53.66,337-PADRE HURTADO,337
METROPOLITANA DE SANTIAGO,PAINE,166,55091,26801,48.65,296-PAINE,296
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,337,91490,45433,49.66,322-PEDRO AGUIRRE CERDA,322
METROPOLITANA DE SANTIAGO,PEÑAFLOR,215,73422,37435,50.99,338-PEÑAFLOR,338
METROPOLITANA DE SANTIAGO,PEÑALOLEN,582,190640,95958,50.33,323-PEÑALOLEN,323
METROPOLITANA DE SANTIAGO,PIRQUE,80,23505,12851,54.67,291-PIRQUE,291
METROPOLITANA DE SANTIAGO,PROVIDENCIA,508,170892,96544,56.49,324-PROVIDENCIA,324
METROPOLITANA DE SANTIAGO,PUDAHUEL,510,169810,81206,47.82,325-PUDAHUEL,325
METROPOLITANA DE SANTIAGO,PUENTE ALTO,1276,403129,192438,47.74,292-PUENTE ALTO,292
METROPOLITANA DE SANTIAGO,QUILICURA,418,141793,69746,49.19,326-QUILICURA,326
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,304,101182,46090,45.55,327-QUINTA NORMAL,327
METROPOLITANA DE SANTIAGO,RECOLETA,466,140460,62058,44.18,328-RECOLETA,328
METROPOLITANA DE SANTIAGO,RENCA,346,115788,51402,44.39,329-RENCA,329
METROPOLITANA DE SANTIAGO,SAN BERNARDO,679,228550,98730,43.2,297-SAN BERNARDO,297
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,263,80763,39431,48.82,330-SAN JOAQUIN,330
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,48,16006,8092,50.56,293-SAN JOSE DE MAIPO,293
METROPOLITANA DE SANTIAGO,SAN MIGUEL,313,105216,53111,50.48,331-SAN MIGUEL,331
METROPOLITANA DE SANTIAGO,SAN PEDRO,25,8577,3632,42.35,302-SAN PEDRO,302
METROPOLITANA DE SANTIAGO,SAN RAMON,251,80041,34186,42.71,332-SAN RAMON,332
METROPOLITANA DE SANTIAGO,SANTIAGO,1049,339067,136385,40.22,333-SANTIAGO,333
METROPOLITANA DE SANTIAGO,TALAGANTE,173,58940,31476,53.4,339-TALAGANTE,339
