Region,City,Boric,Boric_per,Kast,Kast_per,Provoste,Provoste_per,Sichel,Sichel_per,Artes,Artes_per,Enriquez,Enriquez_per,Parisi,Parisi_per,Votos_Emitidos,Votos_Emitidos_per,Votos_Nulos,Votos_Nulos_per,Votos_Blancos,Votos_Blancos_per,Votos_Total,Votos_Total_per,City_id,City_with_id,Region_id,Region_with_id
METROPOLITANA DE SANTIAGO,PAINE,7020,26.52,8429,31.85,2699,10.2,2743,10.36,266,1.0,2099,7.93,3212,12.14,26468,98.76,208,0.78,125,0.47,26801,100.0,296,296-PAINE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,17002,37.99,7566,16.91,5047,11.28,4532,10.13,1400,3.13,5661,12.65,3541,7.91,44749,98.49,396,0.87,288,0.63,45433,100.0,322,322-PEDRO AGUIRRE CERDA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEÑAFLOR,10886,29.41,7694,20.79,4238,11.45,4229,11.43,599,1.62,4264,11.52,5103,13.79,37013,98.87,290,0.77,132,0.35,37435,100.0,338,338-PEÑAFLOR,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PEÑALOLEN,30779,32.42,19456,20.49,11182,11.78,14942,15.74,1664,1.75,9789,10.31,7119,7.5,94931,98.93,685,0.71,342,0.36,95958,100.0,323,323-PEÑALOLEN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PIRQUE,3587,28.2,3614,28.41,1504,11.82,1992,15.66,151,1.19,1025,8.06,849,6.67,12722,99.0,85,0.66,44,0.34,12851,100.0,291,291-PIRQUE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PROVIDENCIA,29002,30.23,30223,31.5,10313,10.75,22196,23.14,833,0.87,2063,2.15,1302,1.36,95932,99.37,416,0.43,196,0.2,96544,100.0,324,324-PROVIDENCIA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PUDAHUEL,26745,33.31,15263,19.01,8275,10.31,8815,10.98,2028,2.53,10562,13.15,8610,10.72,80298,98.88,646,0.8,262,0.32,81206,100.0,325,325-PUDAHUEL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,PUENTE ALTO,68957,36.27,33904,17.83,18243,9.59,23315,12.26,4075,2.14,22299,11.73,19351,10.18,190144,98.81,1748,0.91,546,0.28,192438,100.0,292,292-PUENTE ALTO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,QUILICURA,22630,32.84,12966,18.82,6869,9.97,8028,11.65,1458,2.12,8281,12.02,8671,12.58,68903,98.79,657,0.94,186,0.27,69746,100.0,326,326-QUILICURA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,QUINTA NORMAL,15938,34.95,9937,21.79,4830,10.59,5451,11.95,1068,2.34,5075,11.13,3301,7.24,45600,98.94,362,0.79,128,0.28,46090,100.0,327,327-QUINTA NORMAL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,RECOLETA,21859,35.64,13211,21.54,6495,10.59,7216,11.76,1547,2.52,6377,10.4,4634,7.55,61339,98.84,485,0.78,234,0.38,62058,100.0,328,328-RECOLETA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,RENCA,16061,31.71,8927,17.63,5984,11.82,4860,9.6,1280,2.53,7297,14.41,6237,12.31,50646,98.53,571,1.11,185,0.36,51402,100.0,329,329-RENCA,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN BERNARDO,29945,30.69,23430,24.01,10008,10.26,10215,10.47,1693,1.73,11303,11.58,10992,11.26,97586,98.84,802,0.81,342,0.35,98730,100.0,297,297-SAN BERNARDO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN JOAQUIN,14987,38.46,6971,17.89,4401,11.29,4367,11.21,953,2.45,4246,10.9,3042,7.81,38967,98.82,321,0.81,143,0.36,39431,100.0,330,330-SAN JOAQUIN,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN JOSE DE MAIPO,2878,36.16,1617,20.31,1022,12.84,940,11.81,163,2.05,771,9.69,569,7.15,7960,98.37,98,1.21,34,0.42,8092,100.0,293,293-SAN JOSE DE MAIPO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN MIGUEL,19876,37.7,12313,23.35,5296,10.05,8201,15.56,1035,1.96,3600,6.83,2401,4.55,52722,99.27,289,0.54,100,0.19,53111,100.0,331,331-SAN MIGUEL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN PEDRO,671,18.81,1332,37.33,541,15.16,483,13.54,34,0.95,195,5.47,312,8.74,3568,98.24,36,0.99,28,0.77,3632,100.0,302,302-SAN PEDRO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SAN RAMON,10640,31.56,6373,18.9,4068,12.07,3468,10.29,844,2.5,4739,14.06,3581,10.62,33713,98.62,308,0.9,165,0.48,34186,100.0,332,332-SAN RAMON,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,SANTIAGO,53453,39.57,34459,25.51,12577,9.31,18640,13.8,3060,2.27,7131,5.28,5754,4.26,135074,99.04,911,0.67,400,0.29,136385,100.0,333,333-SANTIAGO,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,TALAGANTE,8298,26.72,8109,26.12,3668,11.81,3722,11.99,460,1.48,2986,9.62,3808,12.26,31051,98.65,278,0.88,147,0.47,31476,100.0,339,339-TALAGANTE,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,TILTIL,1980,27.84,1741,24.48,767,10.79,906,12.74,106,1.49,643,9.04,968,13.61,7111,98.67,69,0.96,27,0.37,7207,100.0,290,290-TILTIL,1092,1092-METROPOLITANA DE SANTIAGO
METROPOLITANA DE SANTIAGO,VITACURA,4455,7.31,31215,51.2,3596,5.9,20938,34.34,110,0.18,401,0.66,254,0.42,60969,99.48,206,0.34,110,0.18,61285,100.0,334,334-VITACURA,1092,1092-METROPOLITANA DE SANTIAGO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,total,87787,24.17,92351,25.42,48255,13.28,50272,13.84,4065,1.12,28294,7.79,52242,14.38,363266,98.48,3348,0.91,2256,0.61,368870,100.0,-99,total,1099,1099-DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
