Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage,City_id,City_with_id,Region_id,Region_with_id
DEL MAULE,SAN CLEMENTE,110,37611,18802,49.99,285,285-SAN CLEMENTE,1098,1098-DEL MAULE
DEL MAULE,SAN JAVIER,117,39506,20609,52.17,275,275-SAN JAVIER,1098,1098-DEL MAULE
DEL MAULE,SAN RAFAEL,26,8670,4911,56.64,286,286-SAN RAFAEL,1098,1098-DEL MAULE
DEL MAULE,TALCA,532,181299,108045,59.59,287,287-TALCA,1098,1098-DEL MAULE
DEL MAULE,TENO,73,25073,12374,49.35,268,268-TENO,1098,1098-DEL MAULE
DEL MAULE,VICHUQUEN,21,5335,3288,61.63,269,269-VICHUQUEN,1098,1098-DEL MAULE
DEL MAULE,VILLA ALEGRE,41,14020,7676,54.75,276,276-VILLA ALEGRE,1098,1098-DEL MAULE
DEL MAULE,YERBAS BUENAS,47,15095,7964,52.76,277,277-YERBAS BUENAS,1098,1098-DEL MAULE
DE ÑUBLE,TOTAL,1342,430998,235903,54.73,-99,total,1097,1097-DE ÑUBLE
DE ÑUBLE,BULNES,67,20644,10593,51.31,237,237-BULNES,1097,1097-DE ÑUBLE
DE ÑUBLE,CHILLAN,453,153992,86484,56.16,238,238-CHILLAN,1097,1097-DE ÑUBLE
DE ÑUBLE,CHILLAN VIEJO,68,22712,13395,58.98,239,239-CHILLAN VIEJO,1097,1097-DE ÑUBLE
DE ÑUBLE,COBQUECURA,19,5904,3476,58.88,240,240-COBQUECURA,1097,1097-DE ÑUBLE
DE ÑUBLE,COELEMU,57,15372,8988,58.47,241,241-COELEMU,1097,1097-DE ÑUBLE
DE ÑUBLE,COIHUECO,73,22439,12203,54.38,242,242-COIHUECO,1097,1097-DE ÑUBLE
DE ÑUBLE,EL CARMEN,39,12469,6795,54.5,243,243-EL CARMEN,1097,1097-DE ÑUBLE
DE ÑUBLE,NINHUE,21,6078,3162,52.02,23697,23697-NINHUE,1097,1097-DE ÑUBLE
DE ÑUBLE,ÑIQUEN,34,10758,5527,51.38,245,245-ÑIQUEN,1097,1097-DE ÑUBLE
DE ÑUBLE,PEMUCO,29,8294,4317,52.05,246,246-PEMUCO,1097,1097-DE ÑUBLE
DE ÑUBLE,PINTO,37,11523,6762,58.68,247,247-PINTO,1097,1097-DE ÑUBLE
DE ÑUBLE,PORTEZUELO,23,5797,3263,56.29,248,248-PORTEZUELO,1097,1097-DE ÑUBLE
DE ÑUBLE,QUILLON,49,15977,8425,52.73,249,249-QUILLON,1097,1097-DE ÑUBLE
DE ÑUBLE,QUIRIHUE,37,10977,5792,52.76,250,250-QUIRIHUE,1097,1097-DE ÑUBLE
DE ÑUBLE,RANQUIL,20,5833,3365,57.69,251,251-RANQUIL,1097,1097-DE ÑUBLE
DE ÑUBLE,SAN CARLOS,142,47823,24370,50.96,252,252-SAN CARLOS,1097,1097-DE ÑUBLE
DE ÑUBLE,SAN FABIAN,17,5149,2840,55.16,253,253-SAN FABIAN,1097,1097-DE ÑUBLE
DE ÑUBLE,SAN IGNACIO,52,14746,7870,53.37,254,254-SAN IGNACIO,1097,1097-DE ÑUBLE
DE ÑUBLE,SAN NICOLAS,36,11810,6548,55.44,255,255-SAN NICOLAS,1097,1097-DE ÑUBLE
DE ÑUBLE,TREHUACO,20,6241,3470,55.6,256,256-TREHUACO,1097,1097-DE ÑUBLE
DE ÑUBLE,YUNGAY,49,16460,8258,50.17,257,257-YUNGAY,1097,1097-DE ÑUBLE
DEL BIOBIO,TOTAL,4322,1337610,736759,55.08,-99,total,1096,1096-DEL BIOBIO
DEL BIOBIO,ALTO BIOBIO,19,5583,2420,43.35,211,211-ALTO BIOBIO,1096,1096-DEL BIOBIO
DEL BIOBIO,ANTUCO,15,4687,2205,47.05,212,212-ANTUCO,1096,1096-DEL BIOBIO
DEL BIOBIO,ARAUCO,118,31244,16947,54.24,204,204-ARAUCO,1096,1096-DEL BIOBIO
DEL BIOBIO,CABRERO,74,25305,12737,50.33,213,213-CABRERO,1096,1096-DEL BIOBIO
DEL BIOBIO,CAÑETE,87,29725,15639,52.61,205,205-CAÑETE,1096,1096-DEL BIOBIO
DEL BIOBIO,CHIGUAYANTE,200,68015,41424,60.9,225,225-CHIGUAYANTE,1096,1096-DEL BIOBIO
DEL BIOBIO,CONCEPCION,637,200269,117659,58.75,226,226-CONCEPCION,1096,1096-DEL BIOBIO
DEL BIOBIO,CONTULMO,23,6114,3476,56.85,206,206-CONTULMO,1096,1096-DEL BIOBIO
DEL BIOBIO,CORONEL,339,90394,49390,54.64,227,227-CORONEL,1096,1096-DEL BIOBIO
DEL BIOBIO,CURANILAHUE,93,30382,15149,49.86,207,207-CURANILAHUE,1096,1096-DEL BIOBIO
DEL BIOBIO,FLORIDA,34,10550,5694,53.97,228,228-FLORIDA,1096,1096-DEL BIOBIO
DEL BIOBIO,HUALPEN,244,77313,46608,60.28,229,229-HUALPEN,1096,1096-DEL BIOBIO
DEL BIOBIO,HUALQUI,63,20705,10806,52.19,230,230-HUALQUI,1096,1096-DEL BIOBIO
DEL BIOBIO,LAJA,65,21631,10383,48.0,214,214-LAJA,1096,1096-DEL BIOBIO
DEL BIOBIO,LEBU,67,22302,10834,48.58,208,208-LEBU,1096,1096-DEL BIOBIO
DEL BIOBIO,LOS ALAMOS,58,18230,9544,52.35,209,209-LOS ALAMOS,1096,1096-DEL BIOBIO
DEL BIOBIO,LOS ANGELES,556,164725,84729,51.44,215,215-LOS ANGELES,1096,1096-DEL BIOBIO
DEL BIOBIO,LOTA,147,47446,24809,52.29,231,231-LOTA,1096,1096-DEL BIOBIO
DEL BIOBIO,MULCHEN,79,26746,12682,47.42,216,216-MULCHEN,1096,1096-DEL BIOBIO
DEL BIOBIO,NACIMIENTO,72,24563,12098,49.25,217,217-NACIMIENTO,1096,1096-DEL BIOBIO
DEL BIOBIO,NEGRETE,30,9084,4695,51.68,218,218-NEGRETE,1096,1096-DEL BIOBIO
DEL BIOBIO,PENCO,125,42186,25032,59.34,232,232-PENCO,1096,1096-DEL BIOBIO
DEL BIOBIO,QUILACO,15,4359,2369,54.35,219,219-QUILACO,1096,1096-DEL BIOBIO
DEL BIOBIO,QUILLECO,34,9620,4715,49.01,220,220-QUILLECO,1096,1096-DEL BIOBIO
DEL BIOBIO,SAN PEDRO DE LA PAZ,270,91391,55257,60.46,233,233-SAN PEDRO DE LA PAZ,1096,1096-DEL BIOBIO
DEL BIOBIO,SAN ROSENDO,15,4362,2292,52.54,221,221-SAN ROSENDO,1096,1096-DEL BIOBIO
DEL BIOBIO,SANTA BARBARA,39,13350,6453,48.34,222,222-SANTA BARBARA,1096,1096-DEL BIOBIO
DEL BIOBIO,SANTA JUANA,39,13026,6914,53.08,234,234-SANTA JUANA,1096,1096-DEL BIOBIO
DEL BIOBIO,TALCAHUANO,465,131721,73678,55.93,235,235-TALCAHUANO,1096,1096-DEL BIOBIO
DEL BIOBIO,TIRUA,27,9123,4918,53.91,210,210-TIRUA,1096,1096-DEL BIOBIO
DEL BIOBIO,TOME,158,50014,28096,56.18,236,236-TOME,1096,1096-DEL BIOBIO
DEL BIOBIO,TUCAPEL,47,13197,6633,50.26,223,223-TUCAPEL,1096,1096-DEL BIOBIO
DEL BIOBIO,YUMBEL,68,20248,10474,51.73,224,224-YUMBEL,1096,1096-DEL BIOBIO
DE LA ARAUCANIA,TOTAL,2923,887606,467654,52.69,-99,total,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,ANGOL,140,46976,24808,52.81,98,98-ANGOL,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,CARAHUE,78,24663,11718,47.51,77,77-CARAHUE,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,CHOLCHOL,33,11149,6113,54.83,78,78-CHOLCHOL,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,COLLIPULLI,67,22172,11311,51.01,99,99-COLLIPULLI,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,CUNCO,62,20105,9318,46.35,79,79-CUNCO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,CURACAUTIN,63,21097,9109,43.18,100,100-CURACAUTIN,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,CURARREHUE,25,8521,3922,46.03,80,80-CURARREHUE,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,ERCILLA,28,8036,3908,48.63,101,101-ERCILLA,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,FREIRE,77,22892,11128,48.61,81,81-FREIRE,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,GALVARINO,37,12092,6127,50.67,82,82-GALVARINO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,GORBEA,49,15651,8109,51.81,83,83-GORBEA,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,LAUTARO,102,34520,17994,52.13,84,84-LAUTARO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,LONCOCHE,76,23234,11307,48.67,85,85-LONCOCHE,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,LONQUIMAY,40,12115,5445,44.94,102,102-LONQUIMAY,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,LOS SAUCES,26,7464,4037,54.09,103,103-LOS SAUCES,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,LUMACO,35,9187,5158,56.14,104,104-LUMACO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,MELIPEUCO,23,7723,3200,41.43,86,86-MELIPEUCO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,NUEVA IMPERIAL,91,30850,16110,52.22,87,87-NUEVA IMPERIAL,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,PADRE LAS CASAS,175,59516,30519,51.28,88,88-PADRE LAS CASAS,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,PERQUENCO,21,6814,3762,55.21,89,89-PERQUENCO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,PITRUFQUEN,69,23226,12137,52.26,90,90-PITRUFQUEN,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,PUCON,86,29594,15024,50.77,91,91-PUCON,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,PUREN,39,12240,6451,52.7,105,105-PUREN,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,RENAICO,36,9806,5113,52.14,106,106-RENAICO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,SAAVEDRA,40,13239,6324,47.77,92,92-SAAVEDRA,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,TEMUCO,904,238028,136979,57.55,93,93-TEMUCO,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,TEODORO SCHMIDT,52,14052,7737,55.06,94,94-TEODORO SCHMIDT,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,TOLTEN,33,10554,5405,51.21,95,95-TOLTEN,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,TRAIGUEN,65,18595,9720,52.27,107,107-TRAIGUEN,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,VICTORIA,111,32607,17312,53.09,108,108-VICTORIA,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,VILCUN,75,24718,13109,53.03,96,96-VILCUN,1095,1095-DE LA ARAUCANIA
DE LA ARAUCANIA,VILLARRICA,165,56170,29240,52.06,97,97-VILLARRICA,1095,1095-DE LA ARAUCANIA
DE LOS RIOS,TOTAL,1100,353056,190830,54.05,-99,total,1094,1094-DE LOS RIOS
DE LOS RIOS,CORRAL,18,5546,2863,51.62,138,138-CORRAL,1094,1094-DE LOS RIOS
DE LOS RIOS,FUTRONO,46,14801,7776,52.54,139,139-FUTRONO,1094,1094-DE LOS RIOS
DE LOS RIOS,LA UNION,110,35752,18968,53.05,140,140-LA UNION,1094,1094-DE LOS RIOS
DE LOS RIOS,LAGO RANCO,37,9616,5091,52.94,141,141-LAGO RANCO,1094,1094-DE LOS RIOS
DE LOS RIOS,LANCO,50,16367,8388,51.25,142,142-LANCO,1094,1094-DE LOS RIOS
DE LOS RIOS,LOS LAGOS,62,19109,9401,49.2,143,143-LOS LAGOS,1094,1094-DE LOS RIOS
DE LOS RIOS,MAFIL,24,7191,3839,53.39,144,144-MAFIL,1094,1094-DE LOS RIOS
DE LOS RIOS,MARIQUINA,64,19123,9435,49.34,145,145-MARIQUINA,1094,1094-DE LOS RIOS
DE LOS RIOS,PAILLACO,66,19298,10145,52.57,146,146-PAILLACO,1094,1094-DE LOS RIOS
DE LOS RIOS,PANGUIPULLI,108,35619,16173,45.41,147,147-PANGUIPULLI,1094,1094-DE LOS RIOS
DE LOS RIOS,RIO BUENO,103,30798,15983,51.9,148,148-RIO BUENO,1094,1094-DE LOS RIOS
DE LOS RIOS,VALDIVIA,412,139836,82768,59.19,149,149-VALDIVIA,1094,1094-DE LOS RIOS
DE LOS LAGOS,TOTAL,2345,746353,387776,51.96,-99,total,1093,1093-DE LOS LAGOS
DE LOS LAGOS,ANCUD,120,38912,18803,48.32,342,342-ANCUD,1093,1093-DE LOS LAGOS
DE LOS LAGOS,CALBUCO,97,32505,14104,43.39,118,118-CALBUCO,1093,1093-DE LOS LAGOS
DE LOS LAGOS,CASTRO,135,41866,20819,49.73,109,109-CASTRO,1093,1093-DE LOS LAGOS
DE LOS LAGOS,CHAITEN,17,5094,1995,39.16,134,134-CHAITEN,1093,1093-DE LOS LAGOS
DE LOS LAGOS,CHONCHI,40,13357,6422,48.08,110,110-CHONCHI,1093,1093-DE LOS LAGOS
DE LOS LAGOS,COCHAMO,16,4636,1949,42.04,119,119-COCHAMO,1093,1093-DE LOS LAGOS
DE LOS LAGOS,CURACO DE VELEZ,12,3770,1832,48.59,111,111-CURACO DE VELEZ,1093,1093-DE LOS LAGOS
DE LOS LAGOS,DALCAHUE,38,12772,5710,44.71,112,112-DALCAHUE,1093,1093-DE LOS LAGOS
DE LOS LAGOS,FRESIA,42,12172,6484,53.27,120,120-FRESIA,1093,1093-DE LOS LAGOS
DE LOS LAGOS,FRUTILLAR,51,17227,9704,56.33,121,121-FRUTILLAR,1093,1093-DE LOS LAGOS
DE LOS LAGOS,FUTALEUFU,12,3885,1432,36.86,135,135-FUTALEUFU,1093,1093-DE LOS LAGOS
DE LOS LAGOS,HUALAIHUE,29,8774,4281,48.79,136,136-HUALAIHUE,1093,1093-DE LOS LAGOS
DE LOS LAGOS,LLANQUIHUE,48,16207,9133,56.35,122,122-LLANQUIHUE,1093,1093-DE LOS LAGOS
DE LOS LAGOS,LOS MUERMOS,49,16423,8151,49.63,123,123-LOS MUERMOS,1093,1093-DE LOS LAGOS
DE LOS LAGOS,MAULLIN,58,15329,6957,45.38,124,124-MAULLIN,1093,1093-DE LOS LAGOS
DE LOS LAGOS,OSORNO,459,143216,79062,55.2,127,127-OSORNO,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PALENA,7,2322,898,38.67,137,137-PALENA,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PUERTO MONTT,573,189727,102681,54.12,125,125-PUERTO MONTT,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PUERTO OCTAY,30,9074,4734,52.17,128,128-PUERTO OCTAY,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PUERTO VARAS,128,43875,26680,60.81,126,126-PUERTO VARAS,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PUQUELDON,14,4406,1785,40.51,113,113-PUQUELDON,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PURRANQUE,71,19788,10451,52.81,129,129-PURRANQUE,1093,1093-DE LOS LAGOS
DE LOS LAGOS,PUYEHUE,35,11691,6386,54.62,130,130-PUYEHUE,1093,1093-DE LOS LAGOS
DE LOS LAGOS,QUEILEN,19,6234,2700,43.31,114,114-QUEILEN,1093,1093-DE LOS LAGOS
DE LOS LAGOS,QUELLON,70,23017,10151,44.1,115,115-QUELLON,1093,1093-DE LOS LAGOS
DE LOS LAGOS,QUEMCHI,34,8963,3704,41.33,116,116-QUEMCHI,1093,1093-DE LOS LAGOS
DE LOS LAGOS,QUINCHAO,32,9251,3581,38.71,117,117-QUINCHAO,1093,1093-DE LOS LAGOS
DE LOS LAGOS,RIO NEGRO,46,13459,7249,53.86,131,131-RIO NEGRO,1093,1093-DE LOS LAGOS
DE LOS LAGOS,SAN JUAN DE LA COSTA,32,8249,4342,52.64,132,132-SAN JUAN DE LA COSTA,1093,1093-DE LOS LAGOS
DE LOS LAGOS,SAN PABLO,31,10152,5596,55.12,133,133-SAN PABLO,1093,1093-DE LOS LAGOS
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TOTAL,316,98558,46489,47.17,-99,total,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,70,22646,10385,45.86,11007,11007-AYSEN,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CHILE CHICO,20,6423,2297,35.76,393,393-CHILE CHICO,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CISNES,18,4642,2444,52.65,12157,12157-CISNES,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COCHRANE,13,3384,1659,49.02,3515,3515-COCHRANE,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,167,54221,26361,48.62,10993,10993-COYHAIQUE,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GUAITECAS,6,1696,630,37.15,6751,6751-GUAITECAS,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,LAGO VERDE,5,1247,583,46.75,457,457-LAGO VERDE,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,O'HIGGINS,3,758,321,42.35,5,5-O'HIGGINS,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,RIO IBAÑEZ,12,2971,1568,52.78,10,10-RIO IBAÑEZ,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TORTEL,2,570,241,42.28,2047,2047-TORTEL,1088,1088-DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TOTAL,517,158483,78936,49.81,-99,total,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,ANTARTICA,1,233,33,14.16,-99,ANTARTICA,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,CABO DE HORNOS,6,1862,768,41.25,5468,5468-CABO DE HORNOS,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,LAGUNA BLANCA,3,822,344,41.85,150,150-LAGUNA BLANCA,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,NATALES,69,22672,9588,42.29,22513,22513-NATALES,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PORVENIR,20,6108,2425,39.7,345,345-PORVENIR,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PRIMAVERA,4,1229,321,26.12,4572,4572-PRIMAVERA,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,PUNTA ARENAS,400,121724,64075,52.64,17170,17170-PUNTA ARENAS,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,RIO VERDE,3,750,293,39.07,10800,10800-RIO VERDE,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,SAN GREGORIO,2,715,265,37.06,153,153-SAN GREGORIO,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TIMAUKEL,3,734,120,16.35,343,343-TIMAUKEL,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
DE MAGALLANES Y DE LA ANTARTICA CHILENA,TORRES DEL PAINE,6,1634,704,43.08,10982,10982-TORRES DEL PAINE,1087,1087-DE MAGALLANES Y DE LA ANTARTICA CHILENA
